[16:42:44.233] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x3a; discarded 1 byte
[16:42:44.234] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x20; discarded 1 byte
[16:42:44.234] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x28; discarded 1 byte
[16:42:44.234] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x32; discarded 1 byte
[16:42:44.235] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x31; discarded 1 byte
[16:42:44.235] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x38; discarded 1 byte
[16:42:44.235] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x29; discarded 1 byte
[16:42:44.236] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x20; discarded 1 byte
[16:42:44.236] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x4d; discarded 1 byte
[16:42:44.236] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x43; discarded 1 byte
[16:42:44.237] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0xfa; discarded 1 byte
[16:42:44.237] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x5e; discarded 1 byte
[16:42:44.239] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x40; discarded 1 byte
[16:42:44.239] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x5e; discarded 1 byte
[16:42:44.239] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x40; discarded 1 byte
[16:42:44.240] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x5e; discarded 1 byte
[16:42:44.240] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x58; discarded 1 byte
[16:42:44.240] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x5e; discarded 1 byte
[16:42:44.240] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x40; discarded 1 byte
[16:42:44.241] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x58; discarded 1 byte
[16:42:44.241] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0xd5; discarded 1 byte
[16:42:44.241] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0xff: expected 0x0a, got 0x5e; payload=ff d9 bb 20 5e 40
[16:42:44.242] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x40; discarded 1 byte
[16:42:44.242] BAD_PACKET[TCP_prs2026hitl_7000] unknown packet ID 0x5e; discarded 1 byte
[16:42:44.242] BAD_PACKET[TCP_prs2026hitl_7000] bad EOF for 0xff: expected 0x0a, got 0x08; payload=ff d5 5e 40 08 20
