[17:25:58.119] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[17:25:58.120] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x4f; discarded 1 byte(s)
[17:25:58.120] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[17:25:58.121] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x40; discarded 1 byte(s)
[17:25:58.121] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[17:25:58.121] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x40; discarded 1 byte(s)
[17:25:58.121] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x0d; discarded 1 byte(s)
[17:25:58.122] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x0a; discarded 1 byte(s)
[17:25:58.122] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x57; discarded 1 byte(s)
[17:25:58.122] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[17:25:58.123] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x28; discarded 1 byte(s)
[17:25:58.123] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x36; discarded 1 byte(s)
[17:25:58.123] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x38; discarded 1 byte(s)
[17:25:58.124] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x38; discarded 1 byte(s)
[17:25:58.124] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x37; discarded 1 byte(s)
[17:25:58.124] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x37; discarded 1 byte(s)
[17:25:58.124] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x32; discarded 1 byte(s)
[17:25:58.125] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x29; discarded 1 byte(s)
[17:25:58.126] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[17:25:58.126] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x73; discarded 1 byte(s)
[17:25:58.126] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[17:25:58.127] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x72; discarded 1 byte(s)
[17:25:58.127] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x69; discarded 1 byte(s)
[17:25:58.127] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x61; discarded 1 byte(s)
[17:25:58.128] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6c; discarded 1 byte(s)
[17:25:58.128] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5f; discarded 1 byte(s)
[17:25:58.128] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x63; discarded 1 byte(s)
[17:25:58.129] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6f; discarded 1 byte(s)
[17:25:58.129] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6d; discarded 1 byte(s)
[17:25:58.129] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6d; discarded 1 byte(s)
[17:25:58.130] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x61; discarded 1 byte(s)
[17:25:58.130] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6e; discarded 1 byte(s)
[17:25:58.130] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x64; discarded 1 byte(s)
[17:25:58.130] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x3a; discarded 1 byte(s)
[17:25:58.131] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[17:25:58.131] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x75; discarded 1 byte(s)
[17:25:58.133] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6e; discarded 1 byte(s)
[17:25:58.133] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6b; discarded 1 byte(s)
[17:25:58.133] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6e; discarded 1 byte(s)
[17:25:58.133] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6f; discarded 1 byte(s)
[17:25:58.134] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x77; discarded 1 byte(s)
[17:25:58.134] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6e; discarded 1 byte(s)
