packet_index,byte_offset,packet_id,packet_type,frame_length,time_seconds,status,uptime,filtered_accel_x,filtered_accel_y,filtered_accel_z,gyro_x,gyro_y,gyro_z,fc_status,fc_uptime,current_sense_ch1,current_sense_ch2,current_sense_ch3,iris_battery_voltage,command_value,mcu_temperature,orientation_x,orientation_y,orientation_z,orientation_w,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,latitude,longitude,gps_altitude,barometric_altitude,witness_battery_voltage,raw_packet_hex
31,64197,0x05,command,10,4292411.412,65403,4292411412,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,05 ff 7b ff d9 00 14 00 24 0a
32,64437,0x05,command,10,4291756.049,65401,4291756049,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,05 ff 79 ff cf 00 11 00 26 0a
33,64481,0xE1,iris_debug,14,130.937,1,130937,,,,,,,,,1.4,0.0,3.6,54.272,,-1,,,,,,,,,,,,,,,,e1 00 01 00 01 ff 79 ff d4 00 0e 00 24 0a
34,64917,0x05,command,10,4292280.34,65401,4292280340,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,05 ff 79 ff d7 00 14 00 24 0a
35,64965,0x05,command,10,4292345.875,65401,4292345875,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,05 ff 79 ff d8 00 13 00 24 0a
36,65493,0x05,command,10,4293263.36,65402,4293263360,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,05 ff 7a ff e6 00 00 00 27 0a
37,65973,0x05,command,10,4292411.412,65398,4292411412,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,05 ff 76 ff d9 00 14 00 24 0a
38,66357,0x05,command,10,4292411.412,65401,4292411412,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,05 ff 79 ff d9 00 14 00 24 0a
39,66597,0x05,command,10,4292345.876,65398,4292345876,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,05 ff 76 ff d8 00 14 00 24 0a
40,67317,0x05,command,10,4292280.339,65400,4292280339,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,05 ff 78 ff d7 00 13 00 25 0a
41,67893,0x05,command,10,4292870.149,65403,4292870149,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,05 ff 7b ff e0 00 05 00 2c 0a
42,67989,0x05,command,10,4292411.412,65399,4292411412,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,05 ff 77 ff d9 00 14 00 23 0a
43,68229,0x05,command,10,4292345.875,65399,4292345875,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,05 ff 77 ff d8 00 13 00 24 0a
44,68373,0x05,command,10,4292345.876,65401,4292345876,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,05 ff 79 ff d8 00 14 00 25 0a
45,68757,0x05,command,10,4292345.875,65402,4292345875,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,05 ff 7a ff d8 00 13 00 24 0a
46,69141,0x05,command,10,4292345.876,65400,4292345876,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,05 ff 78 ff d8 00 14 00 25 0a
47,69285,0x05,command,10,4292280.341,65403,4292280341,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,05 ff 7b ff d7 00 15 00 26 0a
48,69333,0x05,command,10,4292280.339,65399,4292280339,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,05 ff 77 ff d7 00 13 00 25 0a
49,69573,0x05,command,10,4292280.34,65402,4292280340,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,05 ff 7a ff d7 00 14 00 24 0a
50,70197,0x05,command,10,4294377.53,65399,4294377530,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,05 ff 77 ff f7 00 3a 00 01 0a
