I (169) w25n01kv: initialized W25N01KV JEDEC EF AE 21, SR1=0x00 SR2=0x19
I (179) flash_logger: startup test block 1023 wrote/read:
E (28779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (28879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (28979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (29079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (29199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (29299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (29349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (29479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
W (29479) uart2: could not forward 7 UART bytes: ESP_ERR_NO_MEM
W (29539) uart2: could not forward 13 UART bytes: ESP_ERR_NO_MEM
E (29579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (29679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (29779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (29879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (29979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (30079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (30199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (30299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (30349) sensors: state packet queue failed: ESP_ERR_NO_MEM
W (30419) uart2: could not forward 16 UART bytes: ESP_ERR_NO_MEM
E (30479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
W (30509) uart2: could not forward 21 UART bytes: ESP_ERR_NO_MEM
E (30579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (30679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (30779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (30879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (30979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (31079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (31199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (31299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (31349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (31479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (31579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (31679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (31779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (31879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (31979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (32079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (32199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (32299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (32349) sensors: state packet queue failed: ESP_ERR_NO_MEM
W (32469) uart2: could not forward 10 UART bytes: ESP_ERR_NO_MEM
E (32479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
W (32509) uart2: could not forward 10 UART bytes: ESP_ERR_NO_MEM
E (32579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (32679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (32779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (32879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (32979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (33079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (33199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (33299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (33349) sensors: state packet queue failed: ESP_ERR_NO_MEM
W (33469) uart2: could not forward 8 UART bytes: ESP_ERR_NO_MEM
E (33479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
W (33509) uart2: could not forward 10 UART bytes: ESP_ERR_NO_MEM
E (33579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (33679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (33779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (33879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (33979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (34079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (34199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (34299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (34349) sensors: state packet queue failed: ESP_ERR_NO_MEM
W (34469) uart2: could not forward 7 UART bytes: ESP_ERR_NO_MEM
E (34479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
W (34509) uart2: could not forward 11 UART bytes: ESP_ERR_NO_MEM
E (34579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (34679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (34779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (34879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (34979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (35079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (35199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (35299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (35349) sensors: state packet queue failed: ESP_ERR_NO_MEM
W (35459) uart2: could not forward 11 UART bytes: ESP_ERR_NO_MEM
